"nci_id","nct_id","official_title","inclusion_indicaInclusionor","description","Text","Boolean","" 
"NCI-2013-01568","NCT01748825","A Phase I Study of Single-Agent AZD1775 (MK-1775), a Wee1 Inhibitor, in Patients with Advanced Refractory Solid Tumors","Exclusion","Human immunodeficiency virus (HIV) positive patients on antiretroviral therapy are ineligible","(HIV=NO) OR (HIV =UNKNOWN) OR (HIV=YES AND HAART=NO)","(C15175=NO) OR (C15175 =C17998) OR (C15175=YES AND C94631=NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2013-01588","NCT01827384","Molecular Profiling-Based Assignment of Cancer Therapy for Patients with Advanced Solid Tumors","Exclusion","TUMOR BIOPSY SEQUENCING: Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible  TREATMENT: HIV-positive patients on combination antiretroviral therapy are ineligible","(HIV=NO) OR (HIV =UNKNOWN) OR (HIV=YES AND HAART=NO)","(C15175=NO) OR (C15175 =C17998) OR (C15175=YES AND C94631=NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;c94631:affirmed;"
"NCI-2013-01602","NCT01922076","A Phase 1 Study of AZD1775 (MK-1775, IND# 116495) Concurrent with Local Radiation Therapy for the Treatment of Newly Diagnosed Children with Diffuse Intrinsic Pontine Gliomas","N/A","","","",""
"NCI-2013-01639","NCT01964300","Phase II Study of Peginterferon Alfa-2b (SYLATRON) for Pediatric Patients with Unresectable or Recurrent Craniopharyngioma","N/A","","","",""
"NCI-2013-01702","NCT02004275","A Phase I/II Study of Pomalidomide, Dexamethasone, and Ixazomib vs.Pomalidomide and Dexamethasone for Patients with Multiple Myeloma Refractory to Lenalidomide and Proteasome Inhibitor-Based Therapy","Inclusion","Patients with human immunodeficiency virus (HIV) infection are eligible, provided they meet the following:  * No history of acquired immunodeficiency syndrome (AIDS)-defining conditions or other HIV related illness  * Cluster of differentiation (CD)4+ cells nadirs > 350/mm^3   * Treatment sensitive HIV and, if on anti-HIV therapy, HIV viral load < 50 copies/mm^3  * Please note: HIV+ patients who enroll on this study and are assigned to treatment with ixazomib may need to modify their anti-retroviral therapy prior to receiving protocol therapy if they are on strong inducers or potent inhibitors of cytochrome P450 3A4","(HIV=NO) OR (HIV =UNKNOWN) OR (HIV=YES AND AIDS=NO AND  AIDS-Related Disorder =NO AND  CD4> 350 {cells}/mm3 AND Treatment-sensitive HIV=YES AND HAART=NO) OR (HIV=YES AND AIDS=NO AND  AIDS-Related Disorder =NO AND CD4> 350 {cells}/mm3 AND Treatment-sensitive HIV=YES AND HAART=YES AND Viral Load< 50 {copies}/mm3)","(C15175=NO) OR (C15175 =C17998) OR (C15175=YES AND C2851=NO AND  C4991=NO AND  C103810> 350 {cells}/mm3 AND Treatment-sensitive HIV=YES AND C94631=NO) OR (C15175=YES AND C2851=NO AND  C4991=NO AND C103810> 350 {cells}/mm3 AND Treatment-sensitive HIV=YES AND C94631=YES AND C92544< 50 {copies}/mm3)","c15175:affirmed;c15175:affirmed;c2851:affirmed;c15175:affirmed;c15175:affirmed;c15175:affirmed;c92544:affirmed;measurement:affirmed;c15175:affirmed;c111373:affirmed;"
"NCI-2013-01703","NCT01940809","A Sequential Safety and Biomarker Study of BRAF-MEK Inhibition on the Immune Response in the Context of Combined CTLA-4 Blockade and PD-1 Blockade for BRAF Mutant Melanoma","Exclusion","Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible","(HIV=NO)  OR (HIV =UNKNOWN) OR (HIV=YES AND HAART=NO)}","(C15175=NO)  OR (C15175 =C17998) OR (C15175=YES AND C94631=NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2013-01748","NCT01947023","A Phase 1 Study of Dabrafenib in Combination with Lapatinib in BRAF Mutant Thyroid Cancer","Exclusion","Human immunodeficiency virus (HIV)-positive patients on antiviral drugs and/or cluster of differentiation (CD)4 count is inadequate (< 500); if neither condition exists, HIV-positive patients are eligible","(HIV=NO) OR HIV=UNKNOWN OR (HIV=Y AND HAART=NO AND  CD4>500 cells/mm3) ","(C15175=NO) OR (C15175=C17998) OR (C15175=YES AND C94631=NO AND  C103810>500 {cells}/mm3)","c15175:affirmed;c15175:affirmed;"
"NCI-2013-01760","NCT01988571","Preventing Anthracycline Cardiovascular Toxicity with Statins (PREVENT)","N/A","","","",""
"NCI-2013-01850","NCT01993810","Phase III Randomized Trial Comparing Overall Survival after Photon versus Proton Chemoradiotherapy for Inoperable Stage II-IIIB NSCLC","Exclusion","Severe, active co-morbidity, defined as follows:  * Acquired immune deficiency syndrome (AIDS) based upon current Centers for Disease Control and Prevention (CDC) definition; note, however, that human immunodeficiency virus (HIV) testing is not required for entry into this protocol","(HIV=NO OR HIV =UNKNOWN) AND AIDS=NO","(C15175=NO OR C15175 =C17998) AND C2851=NO","c2851:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2013-01904","NCT02054741","A Geriatric Assessment Intervention for Patients Aged 70 and Over Receiving Chemotherapy or Similar Agents for Advanced Cancer: Reducing Toxicity in Older Adults","N/A","","","",""
"NCI-2013-01999","NCT01946789","A Phase 1 Study of the Clinical and Immunologic Effects of ALT-803, a Novel Recombinant IL-15 Complex in Patients with Advanced Solid Tumors: Melanoma, Renal Cell, Sarcoma, Colon, Non-Hodgkin Lymphoma, Non-small Cell Lung, Squamous Cell Head and Neck Cancer and Cutaneous Squamous Cell Cancer","Exclusion","Human immunodeficiency virus (HIV)-positive patients","(HIV=NO OR HIV =UNKNOWN) ","(C15175=NO OR C15175 =C17998) ","c15175:affirmed;c15175:affirmed;"
"NCI-2013-02103","NCT01989585","Phase I/II Study of Dabrafenib, Trametinib, and Navitoclax in BRAF Mutant Melanoma and Other Solid Tumors","Exclusion","Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible","HIV=NO OR HIV =UNKNOWN OR (HIV=YES AND HAART=NO)","C15175=NO OR C15175 =C17998 OR (C15175=YES AND C94631=NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2013-02167","NCT01979536","A Randomized Phase 2 Trial of Brentuximab Vedotin (SGN35, NSC# 749710), or Crizotinib (NSC#749005, Commercially Labeled) in Combination with Chemotherapy for Newly Diagnosed Patients with Anaplastic Large Cell Lymphoma (ALCL)","Exclusion","Patients that are known to be positive for human immunodeficiency virus (HIV) are not eligible; note: inclusion of HIV positive patients will be considered at a later date","(HIV=NO OR HIV =UNKNOWN) ","(C15175=NO OR C15175 =C17998) ","c15175:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2013-02229","NCT02003222","A Phase III Randomized Trial of Blinatumomab for Newly Diagnosed BCR-ABL-Negative B Lineage Acute Lymphoblastic Leukemia in Adults","Inclusion","Patients with known human immunodeficiency virus (HIV) infection are eligible if they meet all of the following criteria:  * No history of acquired immune deficiency syndrome (AIDS)-related complications other than a history of low CD4+ T-cell count (< 200/mm^3) prior to initiation of combination antiretroviral therapy; on study CD4+ T-cell count may not be informative due to leukemia and should not be used as an exclusion criterion if low  * Patient must be healthy on the basis of HIV disease with high likelihood of near normal life span were it not for the leukemia  * Patient must have serum HIV viral load of < 200 copies/mm^3  * Patient must be on combination antiretroviral therapy with minimal pharmacokinetic interactions with study therapy and minimal overlapping clinical toxicity with protocol therapy  * Patient must not be receiving protease inhibitors or once daily formulations containing cobicistat, stavudine, or zidovudine.  * It is recommended to utilize a regimen of the integrase inhibitor, dolutegravir, combined with either disoproxil fumarate/emtricitabine or dolutegravir combined with tenofovir alafenamide/emtricitabine","(HIV=NO) OR (HIV =UNKNOWN) OR (HIV=YES AND AIDS-Related Disorder =NO AND Healthy=YES AND Viral Load>=200 {copies}/mm3 AND HAART=YES AND HIV Protease Inhibitor=NO AND Cobicistat=NO AND  Stavudine=NO AND Zidovudine=NO)","(C15175=NO) OR (C15175 =C17998) OR (C15175=YES AND C4991=NO AND C115935=YES AND C92544>=200 {copies}/mm3 AND C94631=YES AND C97366=NO AND C97360=NO AND  C1428=NO AND C947=NO)","c15175:affirmed;c15175:affirmed;c2851:possible;:possible;c94631:possible;:possible;c115935:possible;c15175:possible;c15175:possible;c92544:possible;measurement:possible;c94631:possible;c97366:possible;c97360:possible;c1428:possible;c947:possible;"
"NCI-2013-02238","NCT01896869","A Phase 2, Multicenter Study of FOLFIRINOX Followed by Ipilimumab in Combination with Allogeneic GM-CSF Transfected Pancreatic Tumor Vaccine in the Treatment of Metastatic Pancreatic Cancer","Exclusion","Patients with chronic human immunodeficiency virus (HIV), hepatitis B or hepatitis C infections should be excluded","(HIV=NO) OR (HIV =UNKNOWN)","(C15175=NO) OR (C15175 =C17998)","c15175:affirmed;c15175:affirmed;c141405:affirmed;"
"NCI-2013-02284","NCT02065687","A Randomized Phase II/III Study of Paclitaxel/Carboplatin/Metformin (NSC#91485) versus Paclitaxel/Carboplatin/Placebo as Initial Therapy for Measurable Stage III or IVA, Stage IVB, or Recurrent Endometrial Cancer","N/A","","","",""
"NCI-2013-02288","NCT02059499","A Randomized, Phase III Study of Intra-anal Imiquimod 2.5 % vs. Topical 5-Fluorouracil 5% vs. Observation for the Treatment of High-Grade Anal Squamous Intraepithelial Lesions in HIV-Positive Men and Women","Exclusion/Inlusion","EXCLUSION  Participants who received investigational agents, other than investigational antiretroviral agents for HIV, within the 4 weeks before randomization, unless approved by the study chair  Inclusion:  HIV-positive; documentation of HIV-1 infection by means of any one of the following:   * Documentation of HIV diagnosis in the medical record by a licensed health care provider  * Documentation of receipt of antiretroviral therapy (ART) (at least two different medications) by a licensed health care provider (documentation may be a record of an ART prescription in the participantâ€™s medical record, a written prescription in the name of the participant for ART, or pill bottles for ART with a label showing the participantâ€™s name)  * HIV-1 ribonucleic acid (RNA) detection by a licensed HIV-1 RNA assay demonstrating > 1000 RNA copies/mL  * Any licensed HIV screening antibody and/or HIV antibody/antigen combination assay confirmed by a second licensed HIV assay such as a HIV-1 Western blot confirmation or HIV rapid multispot antibody differentiation assay  Cluster of differentiation (CD)4 count >= 200 within 120 days prior to enrollment or plasma HIV-1 RNA < 200 copies/mL within 120 days prior to randomization ","HIV=YES AND  (CD4>=200 {cells}/mm3 OR Viral Load<200 {copies}/mm3)","C15175=YES AND (C103810>=200 {cells}/mm3 OR C92544<200 {copies}/mm3)","c94631:negated;c15175:negated;c15175:negated;c15220:negated;c94631:negated;measurement:affirmed;c15175:affirmed;c15175:affirmed;c15175:affirmed;c15175:affirmed;measurement:affirmed;measurement:affirmed;"
"NCI-2013-02426","NCT02029950","A Phase I Study of Pomalidomide Given at the Time of Lymphocyte Recovery following Induction Timed Sequential Chemotherapy with Cytarabine, Daunorubicin, and Etoposide (AcDVP16) in Patients with Newly Diagnosed Acute Myeloid Leukemia (AML) and High-Risk MDS","Inclusion","Known human immunodeficiency virus (HIV) infected patients (HIV testing will not be performed as a part of screening) on combination antiretroviral therapy are eligible for inclusion; the use of zidovudine is not allowed","HIV=NO OR HIV=UNKNOWN OR (HIV=YES AND HAART=YES AND Zidovudine=NO)","C15175=NO OR C15175=C17998 OR (C15175=YES AND C94631=YES AND C947=NO)","c15175:affirmed;c15175:affirmed;c15175:affirmed;c94631:affirmed;c947:affirmed;"
"NCI-2014-00115","NCT02015104","A Randomized, Prospective, Phase II Study to Determine the Efficacy of Bacillus Calmette-Guerin (BCG) Given in Combination with PANVACâ„¢ versus BCG Given Alone in Adults with High Grade Non-muscle Invasive Bladder Cancer (NMIBC) Who Failed at Least 1 Induction Course of BCG","Exclusion","Patients unable to avoid close contact or household contact with the following high-risk individuals for three weeks after the day 1 vaccination: (a) children =< 3 years of age, (b) pregnant or nursing women, (c) individuals with prior or concurrent extensive eczema or other eczematoid skin disorders, or (d) immunocompromised individuals, such as those with human immunodeficiency virus (HIV)","(HIV=NO OR HIV=UNKNOWN) AND (Immunocompromised=NO)","(C15175=NO OR C15175=C17998) AND (C14139=NO)","measurement:affirmed;c14139:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2014-00416","NCT02070549","A Phase I Trial of Single Agent Trametinib (GSK1120212) in Advanced Cancer Patients with Hepatic Dysfunction","Exclusion","Patients with known human immunodeficiency virus (HIV) infection are eligible if not on antiviral agents and cluster of differentiation (CD)4 counts are adequate (>= 500)  HIV-positive patients on combination antiretroviral therapy are ineligible","HIV =NO OR OR HIV=UNKNOWN OR (HIV =Y AND HAART=NO AND CD4>=500 cells/mm3)","C15175 =NO OR  C15175=C17998 OR (C15175 =YES AND C94631=NO AND  C103810>=500 cells/mm3)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2014-00461","NCT02079740","An Open Label, Two-Part, Phase Ib/II Study to Investigate the Safety, Pharmacokinetics, Pharmacodynamics, and Clinical Activity of the MEK Inhibitor Trametinib and the BCL2-Family Inhibitor Navitoclax (ABT-263) in Combination in Subjects with KRAS or NRAS Mutation-Positive Advanced Solid Tumors","Exclusion","Known hepatitis B virus (HBV), or hepatitis C virus (HCV) infection (patients with chronic or cleared HBV and HCV infection are eligible); patients with human immunodeficiency virus (HIV) are not eligible if on anti-retroviral medications","HIV=NO OR HIV=UNKNOWN OR (HIV =YES AND HAART=NO)","C15175=NO OR C15175=C17998 OR (C15175 =YES AND C94631=NO)","c141405:affirmed;c129452:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2014-00547","NCT02095132","A Phase 1/2 Study of AZD1775 (MK-1775) in Combination with Oral Irinotecan in Children, Adolescents, and Young Adults with Relapsed or Refractory Solid Tumors","N/A","","","",""
"NCI-2014-00615","NCT02097225","Phase I Study of AT13387 in Combination with Dabrafenib and Trametinib in Patients with BRAF-Mutant Melanoma and Other Solid Tumors","Exclusion","Patients known to be human immunodeficiency virus (HIV)-positive patients and on combination antiretroviral therapy are ineligible","HIV=NO OR HIV=UNKNOWN OR (HIV =YES AND HAART=NO)","C15175=NO OR C15175=C17998 OR (C15175 =YES AND C94631=NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2014-00616","NCT02152982","A Phase II/III Randomized Trial of Veliparib or Placebo in Combination with Adjuvant Temozolomide in Newly Diagnosed Glioblastoma with MGMT Promoter Hypermethylation","N/A","","","",""
"NCI-2014-00620","NCT02101775","A Randomized Placebo-Controlled Phase II Trial Comparing Gemcitabine Monotherapy to Gemcitabine in Combination with AZD 1775 (MK 1775) in Women with Recurrent, Platinum Resistant Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Cancers","Exclusion","Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible","HIV=NO OR HIV=UNKNOWN OR (HIV =YES AND HAART=NO)","C15175=NO OR C15175=C17998 OR (C15175 =YES AND C94631=NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2014-00623","NCT02143726","Randomized Phase II Study of Sorafenib with or without Everolimus in Patients with Radioactive Iodine Refractory Hurthle Cell Thyroid Cancer","N/A","","","",""
"NCI-2014-00627","NCT02154490","A Biomarker-Driven Master Protocol for Previously Treated Squamous Cell Lung Cancer (Lung-Map)","Inclusion","Patients with a known history of human immunodeficiency virus (HIV) seropositivity:  * Must have undetectable viral load using standard HIV assays in clinical practice  * Must have cluster of differentiation (CD)4 count >= 400/mcL  * Must not require prophylaxis for any opportunistic infections (i.e., fungal, Mycobacterium avium complex [mAC], or pneumocystis jiroveci pneumonia [PCP] prophylaxis)  * Must not be newly diagnosed within 12 months prior to sub-study registration","HIV=NO OR HIV=UNKNOWN OR (HIV =YES AND VIRAL LOAD=0 {copies}/mm3 AND CD4>=400 {cells}/mm3 AND Prevention and Treatment of Opportunistic Infection =NO AND Diagnosis>12 months)","C15175=NO OR C15175=C17998 OR (C15175 =YES AND C92544=C111568 {copies}/mm3 AND C103810>=400 {cells}/mm3 AND C15840=NO AND C15220>12 mo)","c15175:affirmed;c15175:affirmed;c111568:affirmed;c92544:affirmed;c15175:affirmed;c3289:affirmed;"
"NCI-2014-00629","NCT02101788","A Randomized Phase II/III Study to Assess the Efficacy of Trametinib (GSK 1120212) in Patients with Recurrent or Progressive Low-Grade Serous Ovarian Cancer or Peritoneal Cancer","Exclusion","patients with human immunodeficiency virus (HIV) are not eligible if on anti-retroviral medications","HIV=NO OR HIV=UNKNOWN OR (HIV =Yes AND HAART=NO)","C15175=NO OR C15175=C17998 OR (C15175 =Yes AND C94631=NO)","c15175:affirmed;c15175:affirmed;"
"NCI-2014-00631","NCT02101853","Risk-Stratified Randomized Phase III Testing of Blinatumomab (NSC#765986) in First Relapse of Childhood B-Lymphoblastic Leukemia (B-ALL)","Exclusion","Patients with known human immunodeficiency virus (HIV) infection","HIV=NO OR HIV=UNKNOWN","C15175=NO OR C15175=C17998","c15175:affirmed;c15175:affirmed;"
"NCI-2014-00634","NCT02101905","Drug Distribution and Pharmacodynamic Study of Pulsatile Lapatinib in Surgically Accessible EGFR-Amplified Recurrent High-Grade Glioma","Exclusion","Human immunodeficiency virus (HIV)-positive patients on strong cytochrome P450, family 3, subfamily A, polypeptide 4 (CYP3A4) inducers or inhibitors are ineligible","HIV=NO OR HIV=UNKNOWN OR ((HIV =YES AND (Cytochrome P450 3A4 Inhibitor=NO OR  Cytochrome P450 3A4 Inducer =NO))","C15175=NO OR C15175=C17998 OR ((C15175 =YES AND (C111373=NO OR  C111374=NO))","c15175:affirmed;c15175:affirmed;c111374:affirmed;"
"NCI-2014-00635","NCT02135042","Randomized Phase II and Phase III Studies of Individualized Treatment for Nasopharyngeal Carcinoma Based on Biomarker Epstein Barr Virus (EBV) Deoxyribonucleic Acid (DNA)","Exclusion","Severe, active co-morbidity, defined as follows:  * Acquired immune deficiency syndrome (AIDS) based upon current Centers for Disease Control and Prevention (CDC) definition; note, however, that human immunodeficiency virus (HIV) testing is not required for entry into this protocol","HIV=NO OR HIV=UNKNOWN OR AIDS=NO","C15175=NO OR C15175=C17998 OR C2851=NO","c2851:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2014-00636","NCT02135419","ANCHOR Study: Anal Cancer/HSIL Outcomes Research Study","Inclusion","HIV positive; documentation of HIV-1 infection by means of any one of the following:  * Documentation of HIV diagnosis in the medical record by a licensed health care provider;  * Documentation of receipt of antiretroviral therapy (ART) by a licensed health care provider (documentation may be a record of an ART prescription in the participantâ€™s medical record, a written prescription in the name of the participant for ART, or pill bottles for ART with a label showing the participantâ€™s name; receipt of at least two agents is required; each component agent of a multi-class combination ART regimen will be counted toward the 2-agent requirement, excepting receipt of a pre-exposure prophylaxis [PrEP] regimen alone [e.g., Truvada], which is exclusionary);  * HIV-1 ribonucleic acid (RNA) detection by a licensed HIV-1 RNA assay demonstrating > 1000 RNA copies/mL;  * Any licensed HIV screening antibody and/or HIV antibody/antigen combination assay confirmed by a second licensed HIV assay such as a HIV-1 western blot confirmation or HIV rapid multispot antibody differentiation assay  * NOTE: A â€œlicensedâ€ assay refers to a United States (US) Food and Drug Administration (FDA)-approved assay, which is required for all investigational new drug (IND) studies","HIV =YES","C15175 =YES","c15175:affirmed;c15175:affirmed;c15220:affirmed;c94631:affirmed;measurement:affirmed;c15175:affirmed;c15175:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2014-00640","NCT02255461","Phase I Study of CDK 4-6 Inhibitor PD-0332991 in Children with Recurrent, Progressive or Refractory Central Nervous System Tumors","N/A","","","",""
"NCI-2014-00643","NCT02101944","Pilot Trial Evaluating Viral Protein Production from the Combination of Reolysin and Carfilzomib in Multiple Myeloma","Inclusion","Patients must not have known human immunodeficiency virus (HIV) infection or active hepatitis B or C infections","HIV=NO OR HIV=UNKNOWN","C15175=NO OR C15175=C17998","c15175:affirmed;c15175:affirmed;c141405:affirmed;"
"NCI-2014-00644","NCT02032823","A Randomised, Double-Blind, Parallel Group, Placebo-Controlled Multi-centre Phase III Study to Assess the Efficacy and Safety of Olaparib versus Placebo as Adjuvant Treatment in Patients with Germline BRCA1/2 Mutations and High Risk HER2 Negative Primary Breast Cancer Who Have Completed Definitive Local Treatment and Neoadjuvant or Adjuvant Chemotherapy","Exclusion","Patients known to be human immunodeficiency virus (HIV) positive with one or more of the following:  * Baseline cluster of differentiation (CD)4 count of < 250 cells/mm^3  * History of acquired immune deficiency syndrome (AIDS) indicator conditions  * Anti-retroviral therapy with any potent CYP3A4 inhibitor","HIV=NO OR HIV=UNKNOWN OR (HIV =YES AND CD4>=250 {cells}/mm3 AND AIDS=NO AND Cytochrome P450 3A4 Inhibitor=NO)","C15175=NO OR C15175=C17998 OR (C15175 =YES AND C103810>=250 {cells}/mm3 AND C2851=NO AND C111373=NO)","c15175:affirmed;c15175:affirmed;measurement:affirmed;measurement:affirmed;c2851:affirmed;"
"NCI-2014-00677","NCT02176967","Utilizing Response- and Biology-Based Risk Factors to Guide Therapy in Patients with Non-high-risk Neuroblastoma","N/A","","","",""
"NCI-2014-00686","NCT02152137","A Phase 2 Study of Efatutazone, an Oral PPAR Agonist, In Combination with Paclitaxel in Patients with Advanced Anaplastic Thyroid Cancer","Inclusion","Although they will not be considered formal eligibility (exclusion) criteria, physicians should recognize that the following may seriously increase the risk to the patient entering this protocol:  * Medical condition such as uncontrolled infection (including human immunodeficiency virus [HIV]), uncontrolled diabetes mellitus or cardiac disease which, in the opinion of the treating physician, would make this protocol unreasonably hazardous for the patient  ","N/A","IGNORE?","c15175:affirmed;c15175:affirmed;"
"NCI-2014-00688","NCT02379416","Phase I Trial of the Combination of Nilotinib and Paclitaxel in Adults with Refractory Solid Tumors","Exclusion","Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible","HIV =NO OR HIV =UNKNOWN OR (HIV =YES AND HAART=NO)","C15175 =NO OR C15175 =C17998 OR (C15175 =YES AND C94631=NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2014-00702","NCT02206334","A Phase 1 Study of Stereotactic Body Radiotherapy (SBRT) for the Treatment of Multiple Metastases","Exclusion","Severe, active co-morbidity, defined as follows:   * Human immunodeficiency virus (HIV) positive with cluster of differentiation (CD) 4 count < 200 cells/microliter; note that patients who are HIV positive are eligible, provided they are under treatment with highly active antiretroviral therapy (HAART) and have a CD4 count >= 200 cells/microliter within 30 days prior to registration; note also that HIV testing is not required for eligibility for this protocol  ","HIV =NO OR HIV =UNKNOWN OR (HIV =YES AND CD4>=200 {cells}/mm3) AND HAART=YES)","C15175 =NO OR C15175 =C17998 OR (C15175 =YES AND C103810>=200 {cells}/mm3) AND C94631=YES)","c15175:affirmed;c15175:affirmed;measurement:affirmed;c15175:affirmed;c94631:affirmed;:affirmed;measurement:affirmed;c15175:affirmed;"
"NCI-2014-00712","NCT02112916","A Phase III Randomized Trial Investigating Bortezomib (NSC# 681239) on a Modified Augmented BFM (ABFM) Backbone in Newly Diagnosed T-Lymphoblastic Leukemia (T-ALL) and T-Lymphoblastic Lymphoma (T-LLy)","N/A","","","",""
"NCI-2014-00746","NCT02115282","A Randomized Phase III Trial of Endocrine Therapy plus Entinostat/Placebo in Patients with Hormone Receptor-Positive Advanced Breast Cancer","Inclusion","Known human immunodeficiency virus (HIV)-positive patients should have a cluster of differentiation (CD)4 count > 250/mm^3","HIV =NO OR HIV =UNKNOWN OR (HIV =YES AND CD4>250 {cells}/mm3)","C15175 =NO OR C15175 =C17998 OR (C15175 =YES AND C103810>250 {cells}/mm3)","c15175:affirmed;c15175:affirmed;"
"NCI-2014-00804","NCT02116777","A Phase 1/2 Study of BMN 673, an Oral Poly(ADP-Ribose) Polymerase Inhibitor, plus Temozolomide in Children with Refractory or Recurrent Malignancies","N/A","","","",""
"NCI-2014-00816","NCT02211755","Phase I Trial of the Combination of Bortezomib and Clofarabine in Adults with Refractory Solid Tumors","Exclusion","Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible","HIV =NO OR HIV =UNKNOWN OR (HIV =YES AND HAART=NO)","C15175 =NO OR C15175 =C17998 OR (C15175 =YES AND C94631=NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2014-00849","NCT02200042","Randomized Phase III Study of Focal Radiation Therapy for Unresectable, Localized Intrahepatic Cholangiocarcinoma","Exclusion","Severe, active co-morbidity, defined as follows:   * Human immunodeficiency virus (HIV) positive with cluster of differentiation (CD)4 count < 200 cells/microliter; note that patients who are HIV positive are eligible, provided they are under treatment with highly active antiretroviral therapy (HAART) and have a CD4 count >= 200 cells/microliter within 30 days prior to registration; note also that HIV testing is not required for eligibility for this protocol  ","HIV=NO OR HIV=Unknown OR (HIV=YES AND  CD4>=200 {cells}/mm3) AND HAART=YES)","C15175=NO OR C15175=C17998 OR (C15175=YES AND  C103810>=200 {cells}/mm3) AND C94631=YES)","c15175:affirmed;c15175:affirmed;measurement:affirmed;c15175:affirmed;c94631:affirmed;:affirmed;measurement:affirmed;c15175:affirmed;"
"NCI-2014-00850","NCT02177695","A Randomized Phase II Study of Co-expression Extrapolation (COXEN) with Neoadjuvant Chemotherapy for Localized, Muscle-Invasive Bladder Cancer","N/A","","","",""
"NCI-2014-00852","NCT02190279","A Pilot Study of 18F-DCFBC PET/CT in Prostate Cancer","N/A","","","",""
"NCI-2014-00907","NCT02133183","Pilot Study of MLN0128 (TAK-228) in Preoperative Recurrent Glioblastoma (GBM) Patients","Exclusion","Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible","HIV=NO OR HIV=Unknown OR (HIV=YES AND HAART=NO)","C15175=NO OR C15175=C17998 OR (C15175=YES AND C94631=NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2014-01028","NCT02249949","A Phase II Study of the Peroxisome Proliferator-Activated Receptor Gamma Agonist, Efatutazone in Patients with Previously Treated, Unrespecatble Myxoid Liposarcoma","N/A","","","",""
"NCI-2014-01043","NCT02143401","A Phase I Trial of ABT-263 (Navitoclax), a Bcl-2 Inhibitor, and Sorafenib (Nexavar) in Patients with Relapsed or Refractory Solid Organ Tumors","Exclusion","Human immunodeficiency virus (HIV)-positive patients on highly active antiretroviral therapy (HAART) are excluded","HIV=NO OR HIV=Unknown OR (HIV=YES AND HAART=NO)","C15175=NO OR C15175=C17998 OR (C15175=YES AND C94631=NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
