nci_id	nct_id	official_title	inclusion_indicaInclusionor	description	Text	Boolean
NCI-2014-00629	NCT02101788	A Randomized Phase II/III Study to Assess the Efficacy of Trametinib (GSK 1120212) in Patients with Recurrent or Progressive Low-Grade Serous Ovarian Cancer or Peritoneal Cancer	N/A			
NCI-2014-00631	NCT02101853	Risk-Stratified Randomized Phase III Testing of Blinatumomab (NSC#765986) in First Relapse of Childhood B-Lymphoblastic Leukemia (B-ALL)	N/A			
NCI-2014-00634	NCT02101905	Drug Distribution and Pharmacodynamic Study of Pulsatile Lapatinib in Surgically Accessible EGFR-Amplified Recurrent High-Grade Glioma	N/A			
NCI-2014-00635	NCT02135042	Randomized Phase II and Phase III Studies of Individualized Treatment for Nasopharyngeal Carcinoma Based on Biomarker Epstein Barr Virus (EBV) Deoxyribonucleic Acid (DNA)	N/A			
NCI-2014-00636	NCT02135419	ANCHOR Study: Anal Cancer/HSIL Outcomes Research Study	N/A			
NCI-2014-00640	NCT02255461	Phase I Study of CDK 4-6 Inhibitor PD-0332991 in Children with Recurrent, Progressive or Refractory Central Nervous System Tumors	N/A			
NCI-2014-00643	NCT02101944	Pilot Trial Evaluating Viral Protein Production from the Combination of Reolysin and Carfilzomib in Multiple Myeloma	N/A			
NCI-2014-00644	NCT02032823	A Randomised, Double-Blind, Parallel Group, Placebo-Controlled Multi-centre Phase III Study to Assess the Efficacy and Safety of Olaparib versus Placebo as Adjuvant Treatment in Patients with Germline BRCA1/2 Mutations and High Risk HER2 Negative Primary Breast Cancer Who Have Completed Definitive Local Treatment and Neoadjuvant or Adjuvant Chemotherapy	N/A			
NCI-2014-00677	NCT02176967	Utilizing Response- and Biology-Based Risk Factors to Guide Therapy in Patients with Non-high-risk Neuroblastoma	N/A			
NCI-2014-00686	NCT02152137	A Phase 2 Study of Efatutazone, an Oral PPAR Agonist, In Combination with Paclitaxel in Patients with Advanced Anaplastic Thyroid Cancer	N/A			
NCI-2014-00688	NCT02379416	Phase I Trial of the Combination of Nilotinib and Paclitaxel in Adults with Refractory Solid Tumors	N/A			
NCI-2014-00702	NCT02206334	A Phase 1 Study of Stereotactic Body Radiotherapy (SBRT) for the Treatment of Multiple Metastases	N/A			
NCI-2014-00712	NCT02112916	A Phase III Randomized Trial Investigating Bortezomib (NSC# 681239) on a Modified Augmented BFM (ABFM) Backbone in Newly Diagnosed T-Lymphoblastic Leukemia (T-ALL) and T-Lymphoblastic Lymphoma (T-LLy)	N/A			
NCI-2014-00746	NCT02115282	A Randomized Phase III Trial of Endocrine Therapy plus Entinostat/Placebo in Patients with Hormone Receptor-Positive Advanced Breast Cancer	N/A			
NCI-2014-00804	NCT02116777	A Phase 1/2 Study of BMN 673, an Oral Poly(ADP-Ribose) Polymerase Inhibitor, plus Temozolomide in Children with Refractory or Recurrent Malignancies	N/A			
NCI-2014-00816	NCT02211755	Phase I Trial of the Combination of Bortezomib and Clofarabine in Adults with Refractory Solid Tumors	N/A			
NCI-2014-00849	NCT02200042	Randomized Phase III Study of Focal Radiation Therapy for Unresectable, Localized Intrahepatic Cholangiocarcinoma	N/A			
NCI-2014-00850	NCT02177695	A Randomized Phase II Study of Co-expression Extrapolation (COXEN) with Neoadjuvant Chemotherapy for Localized, Muscle-Invasive Bladder Cancer	N/A			
NCI-2014-00852	NCT02190279	A Pilot Study of 18F-DCFBC PET/CT in Prostate Cancer	N/A			
NCI-2014-00907	NCT02133183	Pilot Study of MLN0128 (TAK-228) in Preoperative Recurrent Glioblastoma (GBM) Patients	N/A			
NCI-2014-01028	NCT02249949	A Phase II Study of the Peroxisome Proliferator-Activated Receptor Gamma Agonist, Efatutazone in Patients with Previously Treated, Unrespecatble Myxoid Liposarcoma	N/A			
NCI-2014-01043	NCT02143401	A Phase I Trial of ABT-263 (Navitoclax), a Bcl-2 Inhibitor, and Sorafenib (Nexavar) in Patients with Relapsed or Refractory Solid Organ Tumors	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2014-01047	NCT02143414	A Phase II Study of Blinatumomab and POMP (Prednisone, Vincristine, Methotrexate, 6-Mercaptopurine) for Patients >/= 65 Years of Age with Newly Diagnosed Philadelphia-Chromosome Negative (Ph-) Acute Lymphoblastic Leukemia (ALL) and of Dasatinib, Prednisone and Blinatumomab for Patients >/= 65 Years of Age with Newly Diagnosed Philadelphia-Chromosome Positive (Ph+) ALL, Relapsed/Refractory Philadelphia-Chromosome Postive (Ph+) ALL, and Philadelphia-Chromosome-Like Signature (Ph-Like) ALL with Known or Presumed Activating Dastinib-Sensitive Mutations or Kinase Fusions (DSMKF)	N/A			
NCI-2014-01072	NCT02179086	Randomized Phase II Trial of Hypofractionated Dose-Escalated Photon IMRT or Proton Beam Therapy versus Conventional Photon Irradiation with Concomitant and Adjuvant Temozolomide in Patients with Newly Diagnosed Glioblastoma	N/A			
NCI-2014-01106	NCT02152995	A Phase 2 Study of Trametinib in Combination with Radioiodine (RAI) for RAS Mutant or RAS/RAF Wild-Type, RAI-Refractory Recurrent and/or Metastatic Thyroid Cancers	N/A			
NCI-2014-01107	NCT02159989	Phase I Study of MLN0128 (TAK-228) (NSC# 768435) in Combination with Ziv-Aflibercept (NSC# 724770) in Patients with Advanced Cancers	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2014-01118	NCT02142803	A Phase 1 Study of MLN0128 and Bevacizumab in Patients with Recurrent Glioblastoma and Other Solid Tumors	N/A			
NCI-2014-01222	NCT02304458	A Phase 1/2 Study of Nivolumab in Children, Adolescents, and Young Adults with Recurrent or Refractory Solid Tumors as a Single Agent and in Combination with Ipilimumab	N/A			
NCI-2014-01223	NCT02166463	A Randomized Phase 3 Study of Brentuximab Vedotin (SGN-35) for Newly Diagnosed High-Risk Classical Hodgkin Lymphoma (cHL) in Children and Young Adults	N/A			
NCI-2014-01340	NCT02180867	Pazopanib Neoadjuvant Trial in Non-Rhabdomyosarcoma Soft Tissue Sarcomas (PAZNTIS): A Phase II/III Randomized Trial of Preoperative Chemoradiation or Preoperative Radiation plus or minus Pazopanib (NSC# 737754)	N/A			
NCI-2014-01470	NCT02196181	A Randomized Phase II Trial of Intermittent versus Continuous Dosing of Dabrafenib (NSC-763760) and Trametinib (NSC-763093) in BRAF V600E/K Mutant Melanoma	N/A			
NCI-2014-01497	NCT02270450	Prospective Comparative Effectiveness Trial for Malignant Bowel Obstruction	N/A			
NCI-2014-01507	NCT02201992	A Randomized Phase III Trial for Surgically Resected Early Stage Non-small Cell Lung Cancer: Crizotinib versus Observation for Patients with Tumors Harboring the Anaplastic Lymphoma Kinase (ALK) Fusion Protein	N/A			
NCI-2014-01508	NCT02193282	Randomized Study of Erlotinib vs Observation in Patients with Completely Resected Epidermal Growth Factor Receptor (EGFR) Mutant Non-small Cell Lung Cancer (NSCLC)	N/A			
NCI-2014-01696	NCT02375204	A Randomized Phase III Trial Comparing Conventional-Dose Chemotherapy Using Paclitaxel, Ifosfamide, and Cisplatin (TIP) with High-Dose Chemotherapy Using Mobilizing Paclitaxel plus Ifosfamide Followed by High-Dose Carboplatin and Etoposide (TI-CE) as First Salvage Treatment in Relapsed or Refractory Germ Cell Tumors	N/A			
NCI-2014-01747	NCT02224781	A Randomized Phase III Trial of Dabrafenib + Trametinib Followed by Ipilimumab + Nivolumab at Progression vs. Ipilimumab + Nivolumab Followed by Dabrafenib + Trametinib at Progression in Patients with Advanced BRAFV600 Mutant Melanoma	N/A			
NCI-2014-01754	NCT02203526	Phase 1 Study of Ibrutinib and Immuno-Chemotherapy Using Dose-Adjusted-Temozolomide, Etoposide, Doxil, Dexamethasone, Ibrutinib, Rituximab (DA-TEDDI-R) in Primary CNS Lymphoma	N/A			
NCI-2014-01810	NCT02364557	A Phase IIR/III Trial of  Standard of Care Therapy with or without Stereotactic Body Radiotherapy (SBRT) and/or Surgical Ablation for Newly Oligometastatic Breast Cancer	N/A			
NCI-2014-01820	NCT02445391	A Randomized Phase III Post-operative Trial of Platinum Based Chemotherapy vs. Capecitabine in Patients with Residual Triple-Negative Basal-Like Breast Cancer following Neoadjuvant Chemotherapy	N/A			
NCI-2014-01927	NCT02243605	A Phase 2 Study of XL184 (Cabozantinib) in Treating Patients with Relapsed Osteosarcomas and Ewing Sarcomas	N/A			
NCI-2014-01984	NCT02298959	A Phase 1 Trial of MK-3475 plus Ziv-Aflibercept in Patients with Advanced Solid Tumors	Inclusion	Leukocytes >= 2,000/mcL	Leukocyte count greater than or equal to 2000 per microliter	(C51948 >= 2000/uL)
NCI-2014-02020	NCT02575794	Phase 1 Dose Escalation and Drug Distribution Study of Oral Terameprocol in Patients with Recurrent High Grade Glioma	N/A			
NCI-2014-02056	NCT02437851	A Multicenter Observational and Feasibility Study of Excision of Superficially Invasive Squamous Cell Carcinoma (SISCCA) of the Anal Canal and Perianus in HIV-Infected Persons	Inclusion	Leukocytes: >= 3,000/mm^3	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2014-02167	NCT02275533	Randomized Phase II Study to Assess the Role of Nivolumab as Single Agent to Eliminate Minimal Residual Disease and Maintain Remission in Acute Myelogenous Leukemia (AML) Patients After Chemotherapy (Remain Trial)	Inclusion	Leukocytes >= 2,000/mcL	Leukocyte count greater than or equal to 2000 per microliter	(C51948 >= 2000/uL)
NCI-2014-02197	NCT02281760	A Phase II Therapeutic Trial of the Use of Dabrafenib and Trametinib in Patients with BRAF V600E Mutation Positive Lesions in Erdheim Chester Disease	N/A			
NCI-2014-02266	NCT02339740	A Phase III Study for Patients with Newly Diagnosed Acute Promyelocytic Leukemia (APL) Using Arsenic Trioxide and All-Trans Retinoic Acid	N/A			
NCI-2014-02267	NCT02412670	A Prospective Phase II Trial of Neoadjuvant Systemic Chemotherapy Followed by Extirpative Surgery for Patients with High Grade Upper Tract Urothelial Carcinoma	N/A			
NCI-2014-02379	NCT02496208	A Phase 1 Study of Cabozantinib plus Nivolumab (CaboNivo) Alone or in Combination with Ipilimumab (CaboNivoIpi) in Patients with Advanced/Metastatic Urothelial Carcinoma and Other Genitourinary Tumors	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2014-02380	NCT02306161	Randomized Phase 3 Trial Evaluating the Addition of the IGF-1R Monoclonal Antibody Ganitumab (AMG 479, NSC# 750008) to Multiagent Chemotherapy for Patients with Newly Diagnosed Metastatic Ewing Sarcoma	N/A			
NCI-2014-02403	NCT02428192	A Phase 2 Study of Nivolumab and Ipilimumab in Advanced Leiomyosarcoma of the Uterus	N/A			
NCI-2014-02405	NCT02438722	A Randomized Phase II/III Trial of Afatinib plus Cetuximab versus Afatinib Alone in Treatment-Naive Patients with Advanced, EGFR Mutation Positive Non-small Cell Lung Cancer (NSCLC) (BI 1200.124)	N/A			
NCI-2014-02410	NCT02323880	A Phase 1 Study of Selinexor (KPT-330), a Selective XPO1 Inhibitor, in Recurrent and Refractory Pediatric Solid Tumors, including CNS Tumors	N/A			
NCI-2014-02413	NCT02063828	Reducing Lung Cancer Survivors' Anxiety (RELAX)	N/A			
NCI-2014-02424	NCT02498600	Phase II Randomized Trial of Nivolumab with or without Ipilimumab in Patients with Persistent or Recurrent Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Cancer	N/A			
NCI-2014-02474	NCT02317874	A Phase 1 Study of BMN 673 in Combination with Carboplatin and Paclitaxel in Patients with Advanced Solid Tumors	N/A			
NCI-2014-02559	NCT01885455	Improving Resection Rates Among African Americans with NSCLC ("Southern Lung Cancer Study")	N/A			
NCI-2014-02672	NCT02337517	Pilot Study for the Treatment of Steroid-Refractory Sclerodermatous Chronic Graft-Versus-Host Disease (GVHD) with GDC-0449 (GDC-0449)	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2014-02674	NCT02339571	Randomized Phase II/III Study of Nivolumab plus Ipilimumab plus Sargramostim versus Nivolumab plus Ipilimumab in Patients with Unresectable Stage III or Stage IV Melanoma	N/A			
NCI-2015-00030	NCT02360215	A Randomized Phase III Trial of Memantine and Whole-Brain Radiotherapy With or Without Hippocampal Avoidance in Patients with Brain Metastases	N/A			
NCI-2015-00052	NCT02799485	A Phase II Study of sEphB4-HSA in Kaposi Sarcoma	N/A			
NCI-2015-00054	NCT02465060	Molecular Analysis for Therapy Choice (MATCH)	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-00121	NCT03047213	An Open Label, Multicenter, Single Arm Phase II Study to Evaluate the Activity and Tolerability of the Novel mTOR Inhibitor, MLN0128 (TAK-228), in Patients with Locally Advanced or Metastatic Transitional Cell Carcinoma of the Urothelial Tract Whose Tumors Harbor a TSC1 and/or a TSC2 Mutation	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-00127	NCT02535312	Phase I Study of TRC102 in Combination with Cisplatin and Pemetrexed in Patients with Advanced Solid Tumors, with Expansion Cohort in Mesothelioma / Phase II Study of TRC102 with Pemetrexed in Patients Refractory to Pemetrexed and Cisplatin or Carboplatin	N/A			
NCI-2015-00128	NCT02488967	A Randomized Phase III Trial of Adjuvant Therapy Comparing Doxorubicin plus Cyclophosphamide Followed by Weekly Paclitaxel with or without Carboplatin for Node-Positive or High-Risk Node-Negative Triple-Negative Invasive Breast Cancer	N/A			
NCI-2015-00130	NCT02359565	A Safety and Preliminary Efficacy Trial of MK-3475 (Pembrolizumab; Anti-PD-1) in Children with Recurrent, Progressive or Refractory High-Grade Gliomas (HGG) and DIPGs and Hypermutated Brain Tumors	N/A			
NCI-2015-00159	NCT02363283	A Phase 2 Study of CDX-011 (Glembatumumab Vedotin) for Metastatic Uveal Melanoma	Inclusion	Leukocytes >= 3,000/uL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-00257	NCT02381548	A Phase 1 Study of AZD1775 in Combination with Belinostat in Relapsed and Refractory Myeloid Malignancies and Selected Untreated Patients with Acute Myeloid Leukemia	N/A			
NCI-2015-00258	NCT02381561	Phase I and Pharmacology Study of Oral 5-Iodo-2-Pyrimidinone-2'- Deoxyribose (IPdR) as a Prodrug for IUdR-Mediated Tumor Radiosensitization in Gastrointestinal Cancers	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-00260	NCT02500797	Randomized Phase II Study of Nivolumab with or without Ipilimumab in Patients with Metastatic or Unresectable Sarcoma	N/A			
NCI-2015-00323	NCT02516423	Solitary Plasmacytoma of Bone: Randomized Phase III Trial to Evaluate Treatment with Adjuvant Systemic Treatment and Zoledronic Acid versus Zoledronic Acid after Definite Radiation Therapy	N/A			
NCI-2015-00324	NCT02521493	Risk-Stratified Therapy for Acute Myeloid Leukemia in Down Syndrome	N/A			
NCI-2015-00328	NCT02392429	Early Assessment of Treatment Response in AML Using FLT PET/CT Imaging	N/A			
NCI-2015-00378	NCT02659800	The Effect of IL-7 (CYT107) on CD4 Counts in Patients with High Grade Gliomas and Severe Treatment-Related CD4 Lymphopenia after Concurrent Radiation and Temozolomide	N/A			
NCI-2015-00383	NCT02398773	[18F] Fluoroestradiol (FES) PET as a Predictive Measure for Endocrine Therapy in Patients with Newly Diagnosed Metastatic Breast Cancer	N/A			
NCI-2015-00456	NCT02407405	Phase II Trial of the MEK1/2 Inhibitor Selumetinib (AZD6244 Hydrogen Sulfate) in Adults with Neurofibromatosis Type 1 (NF1) and Inoperable Plexiform Neurofibromas	N/A			
NCI-2015-00461	NCT02408861	A Phase I Study of Ipilimumab and Nivolumab in Advanced HIV-Associated Solid Tumors with Expansion Cohorts in HIV-Associated Solid Tumors and a Cohort of HIV-Associated Classical Hodgkin Lymphoma	Inclusion	Leukocytes >= 2,000/mm^3	Leukocyte count greater than or equal to 2000 per microliter	(C51948 >= 2000/uL)
NCI-2015-00537	NCT02588443	Phase I Study of Neo-adjuvant RO7009789 Alone or Neo-adjuvant RO7009789 plus Nab-paclitaxel and Gemcitabine Followed by Adjuvant RO7009789 plus Nab-paclitaxel and Gemcitabine for Patients with Newly Diagnosed Resectable Pancreatic Carcinoma	N/A			
NCI-2015-00543	NCT02470091	Phase 2 Study of Denosumab (NSC# 744010), a RANK Ligand Antibody, for Recurrent or Refractory Osteosarcoma	N/A			
NCI-2015-00545	NCT02417701	A Phase 2 Study of MLN0128 (TAK-228) in Patients with Advanced Squamous Cell Lung Cancers Harboring NFE2L2 and KEAP 1 Mutations	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-00546	NCT02523014	Phase II Trial of SMO/AKT/NF2 Inhibitors in Progressive Meningiomas with SMO/AKT/NF2 Mutations	N/A			
NCI-2015-00547	NCT02595424	Randomized Phase II Study of Cisplatin and Etoposide versus Temozolomide and Capecitabine in Patients with Advanced G3 Non-small Cell Gastroenteropancreatic  Neuroendocrine Carcinomas	Inclusion	Leukocytes >= 3,000/mm^3	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-00606	NCT02446600	A Phase III Study Comparing Single-Agent Olaparib or the Combination of Cediranib and Olaparib to Standard Platinum-Based Chemotherapy in Women with Recurrent Platinum-Sensitive Ovarian, Fallopian Tube, or Primary Peritoneal Cancer	N/A			
NCI-2015-00651	NCT02502266	A Randomized Phase II/III Study of the Combination of Cediranib and Olaparib Compared to Cediranib or Olaparib Alone, or Standard of Care Chemotherapy in Women with Recurrent Platinum-Resistant or -Refractory Ovarian, Fallopian Tube, or Primary Peritoneal Cancer (COCOS)	N/A			
NCI-2015-00668	NCT02443077	A Randomized Double-Blind Phase III Study of Ibrutinib during and following Autologous Stem Cell Transplantation versus Placebo in Patients with Relapsed or Refractory Diffuse Large B-Cell Lymphoma of the Activated B-Cell Subtype	N/A			
NCI-2015-00695	NCT02423057	Phase I Trial of 4'-Thio-2'-Deoxycytidine (TdCyd) in Patients with Advanced Solid Tumors	N/A			
NCI-2015-00741	NCT02453620	A Phase 1 Study Evaluating Safety, Tolerability, and Preliminary Antitumor Activity of Entinostat and Nivolumab with or without Ipilimumab in Advanced Solid Tumors	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-00744	NCT02564198	A Phase 1 Study of Ramucirumab, a Human Monoclonal Antibody Against the Vascular Endothelial Growth Factor-2 (VEGFR-2) Receptor in Children with Refractory Solid Tumors, Including CNS Tumors	N/A			
NCI-2015-00835	NCT02466971	A Randomized Phase II Trial of Radiation Therapy and Cisplatin Alone or in Combination with Intravenous Triapine in Women with Newly Diagnosed Bulky Stage IB2, Stage II, IIIB, or IVA Cancer of the Uterine Cervix or Stage II-IVA Vaginal Cancer	N/A			
NCI-2015-00866	NCT02474173	Phase 1b Study of HSP90 Inhibitor, AT13387 in Combination with Paclitaxel in Patients with Advanced, Triple Negative Breast Cancer	Inclusion	Leukocytes >= 2,000/uL	Leukocyte count greater than or equal to 2000 per microliter	(C51948 >= 2000/uL)
NCI-2015-01000	NCT02484430	A Phase 2 Study of MLN0128 (TAK-228) in Relapsed and/or Refractory Acute Lymphoblastic Leukemia (ALL)	Exclusion	Patients with white blood cell (WBC) > 30,000 are not eligible to start therapy;	Leukocyte count less than or equal to 30000 per microliter	(C51948 <= 30000/uL)
NCI-2015-01001	NCT02484443	A Phase 2 Study of Human-Mouse Chimeric Anti-disialoganglioside Monoclonal Antibody ch14.18 (Dinutuximab, NSC# 764038) in Combination with Sargramostim (GM-CSF) in Patients with Recurrent Osteosarcoma	N/A			
NCI-2015-01053	NCT02496663	A Phase I Trial of AZD9291 and Necitumumab in EGFR-Mutant Non-small Cell Lung Cancer after Progression on a Previous EGFR Tyrosine Kinase Inhibitor	N/A			
NCI-2015-01097	NCT02498613	A Phase 2 Study of Cediranib in Combination with Olaparib in Advanced Solid Tumors	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-01098	NCT02503709	A Phase 1 Trial of the Combination of the Heat Shock Protein-90 (HSP90) Inhibitor Onalespib (AT13387) and the Cyclin-Dependent Kinase (CDK) Inhibitor AT7519M in Patients with Advanced Solid Tumors	N/A			
NCI-2015-01139	NCT02503722	A Phase 1 Trial of MLN0128 in Combination with AZD9291 in Advanced EGFR Mutation Positive Non-small Cell Lung Cancer (NSCLC) after Progression on a Previous EGFR Tyrosine Kinase Inhibitor	N/A			
NCI-2015-01144	NCT02613364	A Randomized Clinical Trial Comparing the Effectiveness of Yoga, Survivorship Health Education, and Cognitive Behavioral Therapy for Treating Insomnia in Cancer Survivors	N/A			
NCI-2015-01178	NCT02308085	A Study Evaluating the Pregnancy Outcomes and Safety of_x000D_ Interrupting Endocrine Therapy for Young Women with_x000D_ Endocrine Responsive Breast Cancer Who Desire Pregnancy	N/A			
NCI-2015-01236	NCT02562716	A Randomized Phase II Study of Perioperative mFOLFIRINOX versus Gemcitabine/Nab-Paclitaxel as Therapy for Resectable Pancreatic Adenocarcinoma	N/A			
NCI-2015-01270	NCT02520778	A Phase 1B Study of AZD9291 in Combination with Navitoclax in EGFR-Mutant Non-small Cell Lung Cancer following Resistance to Initial EGFR Kinase Inhibitor	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-01271	NCT02520791	A Phase I Trial of MEDI-570 in Patients with Relapsed/Refractory Peripheral T-Cell Lymphoma (PTCL) Follicular Variant and Angioimmunoblastic T-Cell Lymphoma (AITL)	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-01348	NCT02490878	Randomized Phase II Study: Corticosteroids + Bevacizumab vs. Corticosteroids + Placebo (BeSt) for Radionecrosis after Radiosurgery for Brain Metastases	N/A			
NCI-2015-01408	NCT02535325	A Phase I Study of Methoxyamine Combined with Chemo-radiation for Locally Advanced Non-squamous Non-small Cell Lung Cancer	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-01411	NCT02535338	A Phase 1/2 Trial of Erlotinib and Onalespib Lactate in EGFR-Mutant Non-small Cell Lung Cancer	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-01548	NCT02635009	Randomized Phase II/III Trial of Prophylactic Cranial Irradiation with or without Hippocampal Avoidance for Small Cell Lung Cancer	N/A			
NCI-2015-01640	NCT02568553	A Phase I Trial of the Combination of Lenalidomide and Blinatumomab in Patients with Relapsed or Refractory Non-Hodgkins Lymphoma (NHL)	N/A			
NCI-2015-01642	NCT02567409	A Randomized Phase 2 Trial of Cisplatin/Gemcitabine with or without VX-970 in Metastatic Urothelial Carcinoma	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-01643	NCT02567422	A Phase I Study of VX-970 in Combination with Cisplatin and XRT in Patients with Locally Advanced HPV (-) Head and Neck Squamous Cell Carcinoma (HNSCC; SDC 10060121)	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-01644	NCT02567435	A Randomized Phase 3 Study of Vincristine, Dactinomycin, Cyclophosphamide (VAC) Alternating with Vincristine and Irinotecan (VI) versus VAC/VI plus Temsirolimus (TORI, Torisel, NSC# 683864, IND#122782) in Patients with Intermediate Risk (IR) Rhabdomyosarcoma (RMS)	N/A			
NCI-2015-01681	NCT02572453	Phase 2 Study of AT13387 (Onalespib) in ALK+ ALCL, MCL, and BCL-6+ DLBCL	N/A			
NCI-2015-01706	NCT02749903	A Phase II Study of Enzalutamide (NSC# 766085) for Patients with Androgen Receptor Positive Salivary Cancers	N/A			
NCI-2015-01707	NCT02761057	A Randomized, Phase II Efficacy Assessment of Multiple MET Kinase Inhibitors (Cabozantinib [NSC #761968], Crizotinib [NSC #749005], Savolitinib [NSC #785348], and Sunitinib [NSC #736511]) in Metastatic Papillary Renal Carcinoma (PAPMET)	Inclusion	White blood cell count (WBC) >= 2,000/mcL	Leukocyte count greater than or equal to 2000 per microliter	(C51948 >= 2000/uL)
NCI-2015-01744	NCT02581930	A Phase 2 Study of Ibrutinib (PCI-32765) in Refractory Distant Metastatic Cutaneous Melanoma: Correlation of Biomarkers with Response and Resistance	N/A			
NCI-2015-01745	NCT02797470	A Phase I Study of Stem Cell Gene Therapy for HIV Mediated by Lentivector Transduced, Pre-selected CD34+ Cells	N/A			
NCI-2015-01779	NCT02589522	Phase 1 Trial to Determine the Recommended Phase 2 Dose (RP2D) of VX-970 When Combined with Whole Brain Radiotherapy (WBRT) in Patients with Brain Metastases from Non-Small Cell Lung Cancer (NSCLC)	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-01906	NCT02595866	Phase I Study of MK-3475 (Pembrolizumab) in Patients with Human Immunodeficiency Virus (HIV) and Relapsed/Refractory or Disseminated Malignant Neoplasm	N/A			
NCI-2015-01907	NCT02595879	Phase I Dose-Escalation Bioavailability Study of Oral Triapine in Combination with Concurrent Chemoradiation for Locally Advanced Cervical Cancer (LACC) and Vulvar Cancer	N/A			
NCI-2015-01910	NCT02595892	Phase 2 Study of VX-970 (NSC# 780162) in Combination with Gemcitabine versus Gemcitabine Alone in Subjects with Platinum-Resistant Recurrent Ovarian or Primary Peritoneal Fallopian Tube Cancer	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-01911	NCT02734537	Phase II Randomized Trial of Radiotherapy with or without Cisplatin for Surgically Resected Squamous Cell Carcinoma of the Head and Neck (SCCHN) with TP53 Sequencing	N/A			
NCI-2015-01912	NCT02595905	Phase II Randomized Placebo-Controlled Trial of Cisplatin with or without ABT-888 (Veliparib) in Metastatic Triple-Negative Breast Cancer and/or BRCA Mutation-Associated Breast Cancer	N/A			
NCI-2015-01913	NCT02595918	A Pilot Study of Neoadjuvant Nivolumab in High-Risk, Non-metastatic, Renal Cell Carcinoma	Inclusion	Leukocytes >= 2,500/mcL	Leukocyte count greater than or equal to 2500 per microliter	(C51948 >= 2500/uL)
NCI-2015-01915	NCT02595931	Phase I Clinical Trial of VX-970 in Combination with the Topoisomerase I Inhibitor Irinotecan in Patients with Advanced Solid Tumors	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2015-01916	NCT02595944	Adjuvant Nivolumab in Resected Lung Cancers (ANVIL)-A Randomized Phase III Study of Nivolumab after Surgical Resection and Adjuvant Chemotherapy in Non-small Cell Lung Cancers	Inclusion	White blood cell (WBC) >= 2000/uL	Leukocyte count greater than or equal to 2000 per microliter	(C51948 >= 2000/uL)
NCI-2015-01917	NCT02642965	A Phase 1/2 Study of CPX-351 (NSC# 775341) Alone Followed by Fludarabine, Cytarabine, and G-CSF (FLAG) for Children with Relapsed Acute Myeloid Leukemia (AML)	N/A			
NCI-2015-01918	NCT02750826	Randomized Phase III Trial Evaluating the Role of Weight Loss in Adjuvant Treatment of Overweight and Obese Women with Early Breast Cancer	N/A			
