nci_id,nct_id,official_title,inclusion_indicaInclusionor,description,Text,Boolean,"{'negated_codes': [], 'possible_codes': [], 'text': u'description', 'affirmed_codes': []}" 
NCI-2013-01602,NCT01922076,"A Phase 1 Study of AZD1775 (MK-1775, IND# 116495) Concurrent with Local Radiation Therapy for the Treatment of Newly Diagnosed Children with Diffuse Intrinsic Pontine Gliomas",N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2013-01639,NCT01964300,Phase II Study of Peginterferon Alfa-2b (SYLATRON) for Pediatric Patients with Unresectable or Recurrent Craniopharyngioma,N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2013-01702,NCT02004275,"A Phase I/II Study of Pomalidomide, Dexamethasone, and Ixazomib vs.Pomalidomide and Dexamethasone for Patients with Multiple Myeloma Refractory to Lenalidomide and Proteasome Inhibitor-Based Therapy",Inclusion,"Patients with human immunodeficiency virus (HIV) infection are eligible, provided they meet the following:

* No history of acquired immunodeficiency syndrome (AIDS)-defining conditions or other HIV related illness

* Cluster of differentiation (CD)4+ cells nadirs > 350/mm^3 

* Treatment sensitive HIV and, if on anti-HIV therapy, HIV viral load < 50 copies/mm^3

* Please note: HIV+ patients who enroll on this study and are assigned to treatment with ixazomib may need to modify their anti-retroviral therapy prior to receiving protocol therapy if they are on strong inducers or potent inhibitors of cytochrome P450 3A4",(HIV=NO) OR (HIV =UNKNOWN) OR (HIV=YES AND AIDS=NO AND  AIDS-Related Disorder =NO AND  CD4> 350 {cells}/mm3 AND Treatment-sensitive HIV=YES AND HAART=NO) OR (HIV=YES AND AIDS=NO AND  AIDS-Related Disorder =NO AND CD4> 350 {cells}/mm3 AND Treatment-sensitive HIV=YES AND HAART=YES AND Viral Load< 50 {copies}/mm3),(C15175=NO) OR (C15175 =C17998) OR (C15175=YES AND C2851=NO AND  C4991=NO AND  C103810> 350 {cells}/mm3 AND Treatment-sensitive HIV=YES AND C94631=NO) OR (C15175=YES AND C2851=NO AND  C4991=NO AND C103810> 350 {cells}/mm3 AND Treatment-sensitive HIV=YES AND C94631=YES AND C92544< 50 {copies}/mm3),"{'negated_codes': [], 'possible_codes': [], 'text': u'Patients with human immunodeficiency virus (HIV) infection are eligible, provided they meet the following:\n\n* No history of acquired immunodeficiency syndrome (AIDS)-defining conditions or other HIV related illness\n\n* Cluster of differentiation (CD)4+ cells nadirs > 350/mm^3 \n\n* Treatment sensitive HIV and, if on anti-HIV therapy, HIV viral load < 50 copies/mm^3\n\n* Please note: HIV+ patients who enroll on this study and are assigned to treatment with ixazomib may need to modify their anti-retroviral therapy prior to receiving protocol therapy if they are on strong inducers or potent inhibitors of cytochrome P450 3A4', 'affirmed_codes': [u'37254006', u'282254003', u'312266001', u'254701007', u'226164007', u'70536003', u'396331005', u'78494001', u'115238001', u'224699009', u'84478008', u'313392000', u'165447008', u'10639003', u'168210005', u'415112005', u'5801000124106', u'168524008', u'170175004', u'165454002', u'181681008', u'169438007', u'69960004', u'25162000', u'24655002', u'260313008', u'40992002', u'170105000', u'108290001', u'7055007', u'170112009', u'373225007', u'276952000', u'243126005', u'346649002', u'170157000', u'277132007', u'273360000', u'170130002', u'67101007', u'168525009', u'254437001', u'116680003', u'88473009', u'88014003', u'118586006', u'399315003', u'165127005', u'41778007', u'188718006', u'103324002', u'402815007', u'230598008', u'74281007', u'255071008', u'426342006', u'58533008', u'259220007', u'255688002', u'312278002', u'36266005', u'40275004', u'160573003', u'74641007', u'170279001', u'372525000', u'165119001', u'415113000', u'170297009', u'301183007', u'360270004', u'165455001', u'276962007', u'437871001', u'129445006', u'395058002', u'60234000', u'89906000', u'19030005', u'165446004', u'418698006', u'264705001', u'16808006', u'315124004', u'83185005', u'5091004', u'441120009', u'169291001', u'112131005', u'254654004', u'5304008', u'28899001', u'226048001', u'103325001', u'253620009', u'349854005', u'49938009', u'169437002', u'275923005', u'1338007', u'170148006', u'243931006', u'35815003', u'360160009', u'34000006', u'63370004', u'165456000', u'422599000', u'414341000', u'260404005', u'159083000', u'252374002', u'427569000', u'104133003', u'279757004', u'84999002', u'263680009', u'40413002', u'408485004', u'182657004', u'186803007', u'254702000', u'410529002', u'165445000', u'273362008', u'258259005', u'170270002', u'171154002', u'256559000', u'365612007', u'386708005', u'54706004', u'271421005', u'255383001', u'280952003', u'36682004', u'84847000', u'170184004', u'282119004', u'71286001', u'419815003', u'424966008', u'74036000', u'59529006', u'398074008', u'264706000', u'400066006', u'89293008', u'168836005', u'4421005', u'74364000', u'116745007', u'74964007', u'399049001', u'27814009', u'170308006', u'416118004', u'263903005', u'170121005', u'418340005', u'116154003', u'276239002', u'45341000', u'1368003', u'254652000', u'410525008', u'18307000', u'87385003', u'12026006', u'420449005', u'434941000124101', u'165452003', u'266717002', u'149016008', u'361226000', u'371883000', u'254895003', u'165449006', u'170166001', u'241397007', u'276139006', u'254634000', u'80546007', u'169439004', u'168523002', u'260809006', u'429659006', u'226882008', u'100832001', u'276953005', u'362837007', u'12484000', u'276140008', u'404836005', u'407515008', u'170288005', u'228281002', u'254622008', u'18027006', u'66586000', u'16805009', u'36070007', u'29594005', u'402522006', u'91251008', u'413454004', u'258049002', u'44057004', u'256871003', u'225738002', u'301378009', u'254651007', u'276804009', u'266917007', u'264703008', u'165453008', u'423463003', u'165448003', u'47545007', u'424446007', u'271300009', u'391023009', u'254656002', u'255084004', u'170261000', u'396451008', u'170139001', u'276954004', u'67487000', u'264708004']}"
NCI-2013-01703,NCT01940809,A Sequential Safety and Biomarker Study of BRAF-MEK Inhibition on the Immune Response in the Context of Combined CTLA-4 Blockade and PD-1 Blockade for BRAF Mutant Melanoma,Exclusion,Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible,(HIV=NO)  OR (HIV =UNKNOWN) OR (HIV=YES AND HAART=NO)},(C15175=NO)  OR (C15175 =C17998) OR (C15175=YES AND C94631=NO),"{'negated_codes': [], 'possible_codes': [], 'text': u'Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible', 'affirmed_codes': [u'258259005', u'170270002', u'165119001', u'170297009', u'226164007', u'301183007', u'386708005', u'360270004', u'80546007', u'271421005', u'169439004', u'70536003', u'168523002', u'129445006', u'250423000', u'60234000', u'280952003', u'78494001', u'226882008', u'100832001', u'19030005', u'12484000', u'84478008', u'170184004', u'315124004', u'407515008', u'170288005', u'168524008', u'89780004', u'181681008', u'419815003', u'170175004', u'250424006', u'18027006', u'169438007', u'69960004', u'169291001', u'25162000', u'398074008', u'5304008', u'108290001', u'170105000', u'226048001', u'170112009', u'228166004', u'243126005', u'89293008', u'170157000', u'168836005', u'277132007', u'273360000', u'36070007', u'27814009', u'170130002', u'67101007', u'413454004', u'168525009', u'225738002', u'256871003', u'169437002', u'275923005', u'170308006', u'416118004', u'116680003', u'170148006', u'243931006', u'88014003', u'263903005', u'118586006', u'399315003', u'165127005', u'170121005', u'47545007', u'230598008', u'276239002', u'391023009', u'170261000', u'159083000', u'170139001', u'266717002', u'149016008', u'58533008', u'255688002', u'263680009', u'361226000', u'408485004', u'182657004', u'186803007', u'170166001', u'160573003', u'170279001', u'67487000']}"
NCI-2013-01748,NCT01947023,A Phase 1 Study of Dabrafenib in Combination with Lapatinib in BRAF Mutant Thyroid Cancer,Exclusion,"Human immunodeficiency virus (HIV)-positive patients on antiviral drugs and/or cluster of differentiation (CD)4 count is inadequate (< 500); if neither condition exists, HIV-positive patients are eligible",(HIV=NO) OR HIV=UNKNOWN OR (HIV=Y AND HAART=NO AND  CD4>500 cells/mm3) ,(C15175=NO) OR (C15175=C17998) OR (C15175=YES AND C94631=NO AND  C103810>500 {cells}/mm3),"{'negated_codes': [], 'possible_codes': [], 'text': u'Human immunodeficiency virus (HIV)-positive patients on antiviral drugs and/or cluster of differentiation (CD)4 count is inadequate (< 500); if neither condition exists, HIV-positive patients are eligible', 'affirmed_codes': [u'282254003', u'273362008', u'258259005', u'276139006', u'226164007', u'301183007', u'386708005', u'55394004', u'437871001', u'250423000', u'60234000', u'396331005', u'78494001', u'767002', u'7257007', u'260809006', u'226882008', u'100832001', u'36682004', u'19030005', u'84847000', u'372701006', u'32249005', u'71978007', u'313392000', u'315124004', u'282119004', u'236874000', u'103331003', u'407515008', u'5801000124106', u'181681008', u'424966008', u'74036000', u'250424006', u'66586000', u'410664001', u'168470004', u'260313008', u'16805009', u'40992002', u'89293008', u'168836005', u'36070007', u'253620009', u'62193008', u'27814009', u'91251008', u'44057004', u'256871003', u'116680003', u'88014003', u'118586006', u'266917007', u'264703008', u'41778007', u'35815003', u'162197008', u'116154003', u'103324002', u'230598008', u'360160009', u'271300009', u'45341000', u'34000006', u'159083000', u'260905004', u'396451008', u'26604007', u'87385003', u'12026006', u'149016008', u'58533008', u'258734002', u'36266005', u'263680009', u'40275004', u'371883000', u'186803007', u'160573003', u'67487000']}"
NCI-2013-01760,NCT01988571,Preventing Anthracycline Cardiovascular Toxicity with Statins (PREVENT),N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2013-01850,NCT01993810,Phase III Randomized Trial Comparing Overall Survival after Photon versus Proton Chemoradiotherapy for Inoperable Stage II-IIIB NSCLC,Exclusion,"Severe, active co-morbidity, defined as follows:

* Acquired immune deficiency syndrome (AIDS) based upon current Centers for Disease Control and Prevention (CDC) definition; note, however, that human immunodeficiency virus (HIV) testing is not required for entry into this protocol",(HIV=NO OR HIV =UNKNOWN) AND AIDS=NO,(C15175=NO OR C15175 =C17998) AND C2851=NO,"{'negated_codes': [], 'possible_codes': [], 'text': u'Severe, active co-morbidity, defined as follows:\n\n* Acquired immune deficiency syndrome (AIDS) based upon current Centers for Disease Control and Prevention (CDC) definition; note, however, that human immunodeficiency virus (HIV) testing is not required for entry into this protocol', 'affirmed_codes': [u'277701000', u'24594008', u'418836005', u'219006', u'161045001', u'258259005', u'243215005', u'93235007', u'226164007', u'301183007', u'386708005', u'421939007', u'394404009', u'171121004', u'900000000000073002', u'60234000', u'78494001', u'124221007', u'226882008', u'100832001', u'367409002', u'19030005', u'21594007', u'363708005', u'225761000', u'300841009', u'255260001', u'900000000000550004', u'63813000', u'315124004', u'394837003', u'197284004', u'171165007', u'47757001', u'407515008', u'181681008', u'243218007', u'124220008', u'105542008', u'25967007', u'260409000', u'228319007', u'162171002', u'89293008', u'124214007', u'168836005', u'36070007', u'312453004', u'228452000', u'27814009', u'62479008', u'146684000', u'256871003', u'314791004', u'116680003', u'313299006', u'54470008', u'88014003', u'118586006', u'237755009', u'243217002', u'410585006', u'237751000', u'230598008', u'129729005', u'15240007', u'10024003', u'243216006', u'39463000', u'24484000', u'55561003', u'159083000', u'186705005', u'115470003', u'401338001', u'228453005', u'228447005', u'396550006', u'184888004', u'149016008', u'58533008', u'139451009', u'263680009', u'394411008', u'186803007', u'62676009', u'410584005', u'160573003', u'67487000']}"
NCI-2013-01904,NCT02054741,A Geriatric Assessment Intervention for Patients Aged 70 and Over Receiving Chemotherapy or Similar Agents for Advanced Cancer: Reducing Toxicity in Older Adults,N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2013-01999,NCT01946789,"A Phase 1 Study of the Clinical and Immunologic Effects of ALT-803, a Novel Recombinant IL-15 Complex in Patients with Advanced Solid Tumors: Melanoma, Renal Cell, Sarcoma, Colon, Non-Hodgkin Lymphoma, Non-small Cell Lung, Squamous Cell Head and Neck Cancer and Cutaneous Squamous Cell Cancer",Exclusion,Human immunodeficiency virus (HIV)-positive patients,(HIV=NO OR HIV =UNKNOWN) ,(C15175=NO OR C15175 =C17998) ,"{'negated_codes': [], 'possible_codes': [], 'text': u'Human immunodeficiency virus (HIV)-positive patients', 'affirmed_codes': [u'230598008', u'315124004', u'226164007', u'386708005', u'407515008', u'181681008', u'250424006', u'250423000', u'19030005', u'186803007', u'89293008']}"
NCI-2013-02103,NCT01989585,"Phase I/II Study of Dabrafenib, Trametinib, and Navitoclax in BRAF Mutant Melanoma and Other Solid Tumors",Exclusion,Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible,HIV=NO OR HIV =UNKNOWN OR (HIV=YES AND HAART=NO),C15175=NO OR C15175 =C17998 OR (C15175=YES AND C94631=NO),"{'negated_codes': [], 'possible_codes': [], 'text': u'Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible', 'affirmed_codes': [u'258259005', u'170270002', u'165119001', u'170297009', u'226164007', u'301183007', u'386708005', u'360270004', u'80546007', u'271421005', u'169439004', u'70536003', u'168523002', u'129445006', u'250423000', u'60234000', u'280952003', u'78494001', u'226882008', u'100832001', u'19030005', u'12484000', u'84478008', u'170184004', u'315124004', u'407515008', u'170288005', u'168524008', u'89780004', u'181681008', u'419815003', u'170175004', u'250424006', u'18027006', u'169438007', u'69960004', u'169291001', u'25162000', u'398074008', u'5304008', u'108290001', u'170105000', u'226048001', u'170112009', u'228166004', u'243126005', u'89293008', u'170157000', u'168836005', u'277132007', u'273360000', u'36070007', u'27814009', u'170130002', u'67101007', u'413454004', u'168525009', u'225738002', u'256871003', u'169437002', u'275923005', u'170308006', u'416118004', u'116680003', u'170148006', u'243931006', u'88014003', u'263903005', u'118586006', u'399315003', u'165127005', u'170121005', u'47545007', u'230598008', u'276239002', u'391023009', u'170261000', u'159083000', u'170139001', u'266717002', u'149016008', u'58533008', u'255688002', u'263680009', u'361226000', u'408485004', u'182657004', u'186803007', u'170166001', u'160573003', u'170279001', u'67487000']}"
NCI-2013-02167,NCT01979536,"A Randomized Phase 2 Trial of Brentuximab Vedotin (SGN35, NSC# 749710), or Crizotinib (NSC#749005, Commercially Labeled) in Combination with Chemotherapy for Newly Diagnosed Patients with Anaplastic Large Cell Lymphoma (ALCL)",Exclusion,Patients that are known to be positive for human immunodeficiency virus (HIV) are not eligible; note: inclusion of HIV positive patients will be considered at a later date,(HIV=NO OR HIV =UNKNOWN) ,(C15175=NO OR C15175 =C17998) ,"{'negated_codes': [], 'possible_codes': [], 'text': u'Patients that are known to be positive for human immunodeficiency virus (HIV) are not eligible; note: inclusion of HIV positive patients will be considered at a later date', 'affirmed_codes': [u'258259005', u'301183007', u'226164007', u'386708005', u'437871001', u'250423000', u'60234000', u'78494001', u'260809006', u'226882008', u'36682004', u'100832001', u'84847000', u'315124004', u'282119004', u'407515008', u'169641007', u'181681008', u'424966008', u'74036000', u'250424006', u'227423000', u'168836005', u'253620009', u'36070007', u'27814009', u'91251008', u'256871003', u'116680003', u'88014003', u'118586006', u'41778007', u'116154003', u'103324002', u'360160009', u'45341000', u'271300009', u'36692007', u'159083000', u'396451008', u'87385003', u'12026006', u'149016008', u'58533008', u'263680009', u'165816005', u'410672004', u'371883000', u'186803007', u'160573003', u'67487000']}"
NCI-2013-02229,NCT02003222,A Phase III Randomized Trial of Blinatumomab for Newly Diagnosed BCR-ABL-Negative B Lineage Acute Lymphoblastic Leukemia in Adults,Inclusion,"Patients with known human immunodeficiency virus (HIV) infection are eligible if they meet all of the following criteria:

* No history of acquired immune deficiency syndrome (AIDS)-related complications other than a history of low CD4+ T-cell count (< 200/mm^3) prior to initiation of combination antiretroviral therapy; on study CD4+ T-cell count may not be informative due to leukemia and should not be used as an exclusion criterion if low

* Patient must be healthy on the basis of HIV disease with high likelihood of near normal life span were it not for the leukemia

* Patient must have serum HIV viral load of < 200 copies/mm^3

* Patient must be on combination antiretroviral therapy with minimal pharmacokinetic interactions with study therapy and minimal overlapping clinical toxicity with protocol therapy

* Patient must not be receiving protease inhibitors or once daily formulations containing cobicistat, stavudine, or zidovudine.

* It is recommended to utilize a regimen of the integrase inhibitor, dolutegravir, combined with either disoproxil fumarate/emtricitabine or dolutegravir combined with tenofovir alafenamide/emtricitabine",(HIV=NO) OR (HIV =UNKNOWN) OR (HIV=YES AND AIDS-Related Disorder =NO AND Healthy=YES AND Viral Load>=200 {copies}/mm3 AND HAART=YES AND HIV Protease Inhibitor=NO AND Cobicistat=NO AND  Stavudine=NO AND Zidovudine=NO),(C15175=NO) OR (C15175 =C17998) OR (C15175=YES AND C4991=NO AND C115935=YES AND C92544>=200 {copies}/mm3 AND C94631=YES AND C97366=NO AND C97360=NO AND  C1428=NO AND C947=NO),"{'negated_codes': [], 'possible_codes': [u'418836005', u'129025006', u'184168001', u'226164007', u'412768003', u'25820009', u'262094002', u'70536003', u'78494001', u'224699009', u'423649001', u'401194005', u'64730000', u'84478008', u'14732006', u'430696004', u'363708005', u'255260001', u'165447008', u'16208003', u'168210005', u'267007007', u'386895008', u'168524008', u'170175004', u'181681008', u'134417007', u'313436004', u'62388003', u'169438007', u'69960004', u'164180001', u'130644000', u'25162000', u'24655002', u'260313008', u'108290001', u'170105000', u'109983007', u'224052003', u'170112009', u'373225007', u'243126005', u'170157000', u'371880002', u'277132007', u'273360000', u'47009004', u'304554004', u'297241004', u'67922002', u'170130002', u'67101007', u'168525009', u'17621005', u'160471004', u'116680003', u'88473009', u'88014003', u'118586006', u'165127005', u'399315003', u'41778007', u'263775005', u'430679000', u'103324002', u'268484008', u'163753009', u'266994001', u'161663000', u'304492001', u'275104002', u'130718008', u'408552005', u'401210006', u'50485007', u'266988009', u'58533008', u'259220007', u'255688002', u'312278002', u'261583007', u'166562001', u'429952000', u'160573003', u'30753002', u'170279001', u'372525000', u'275707000', u'224130005', u'313284006', u'395006008', u'165119001', u'433276002', u'170297009', u'134418002', u'267021009', u'301183007', u'360270004', u'75478009', u'421939007', u'60481001', u'165455001', u'129445006', u'437871001', u'161556007', u'165478007', u'395058002', u'60234000', u'394850002', u'268458002', u'57184004', u'161424002', u'19030005', u'26091008', u'371068009', u'414450004', u'275760001', u'315124004', u'408568004', u'260676000', u'46714000', u'5091004', u'130640009', u'91861009', u'308069004', u'169652001', u'441120009', u'309295000', u'169291001', u'162529007', u'410513005', u'312009002', u'5304008', u'105529008', u'226048001', u'24846002', u'40172005', u'253620009', u'349854005', u'316244005', u'161429007', u'109996008', u'164412005', u'169437002', u'275923005', u'170148006', u'243931006', u'75081008', u'51042001', u'161464003', u'161506002', u'38341003', u'165411007', u'183645004', u'161894002', u'360160009', u'165439008', u'419185008', u'128931003', u'277880007', u'421654003', u'159083000', u'304578009', u'30593001', u'427569000', u'28017001', u'401338001', u'93143009', u'258734002', u'263680009', u'422014003', u'161486002', u'308070003', u'55921005', u'161413004', u'408485004', u'124570007', u'182657004', u'186803007', u'165445000', u'275572005', u'258259005', u'170270002', u'128848007', u'142866002', u'4908009', u'260362008', u'42752001', u'386708005', u'13232003', u'392521001', u'306766009', u'271421005', u'116223007', u'280952003', u'165507003', u'767002', u'36682004', u'367409002', u'84847000', u'3428006', u'170184004', u'161432005', u'282119004', u'130733000', u'4903000', u'58147004', u'419815003', u'89780004', u'424966008', u'74036000', u'67426006', u'429950008', u'443508001', u'398074008', u'262009000', u'57177007', u'125112009', u'433202001', u'168836005', u'245631005', u'116745007', u'74964007', u'170109006', u'27814009', u'162793001', u'161798008', u'255904004', u'416118004', u'170308006', u'263903005', u'170121005', u'275560004', u'161672008', u'116154003', u'399211009', u'275526006', u'161615003', u'62482003', u'167862003', u'263718001', u'240166008', u'276239002', u'304557006', u'275571003', u'45341000', u'288256007', u'419385000', u'160800006', u'89659001', u'44336002', u'87385003', u'12026006', u'5174000', u'266717002', u'165452003', u'149016008', u'130206000', u'361226000', u'371883000', u'394411008', u'42504009', u'170166001', u'142848007', u'168838006', u'276139006', u'387151007', u'108690008', u'80546007', u'169439004', u'164716009', u'164178007', u'161504004', u'168523002', u'27479000', u'161768001', u'25609006', u'277545003', u'260809006', u'226882008', u'100832001', u'12484000', u'162526000', u'393485003', u'92818009', u'279039007', u'270473001', u'169563005', u'165437005', u'170288005', u'407515008', u'167596001', u'161665007', u'18027006', u'223361004', u'312442005', u'167827008', u'275529004', u'104404005', u'228166004', u'36070007', u'390988005', u'160801005', u'413454004', u'91251008', u'258049002', u'257264006', u'225738002', u'256871003', u'301378009', u'160725005', u'266917007', u'264703008', u'297250002', u'47545007', u'427858005', u'255605001', u'273531005', u'271300009', u'130202003', u'165414004', u'391023009', u'275569003', u'87163000', u'162217002', u'170261000', u'396451008', u'164179004', u'165569003', u'26604007', u'166442006', u'142850004', u'170139001', u'161769009', u'433164007', u'417662000', u'67487000'], 'text': u'Patients with known human immunodeficiency virus (HIV) infection are eligible if they meet all of the following criteria:\n\n* No history of acquired immune deficiency syndrome (AIDS)-related complications other than a history of low CD4+ T-cell count (< 200/mm^3) prior to initiation of combination antiretroviral therapy; on study CD4+ T-cell count may not be informative due to leukemia and should not be used as an exclusion criterion if low\n\n* Patient must be healthy on the basis of HIV disease with high likelihood of near normal life span were it not for the leukemia\n\n* Patient must have serum HIV viral load of < 200 copies/mm^3\n\n* Patient must be on combination antiretroviral therapy with minimal pharmacokinetic interactions with study therapy and minimal overlapping clinical toxicity with protocol therapy\n\n* Patient must not be receiving protease inhibitors or once daily formulations containing cobicistat, stavudine, or zidovudine.\n\n* It is recommended to utilize a regimen of the integrase inhibitor, dolutegravir, combined with either disoproxil fumarate/emtricitabine or dolutegravir combined with tenofovir alafenamide/emtricitabine', 'affirmed_codes': [u'258259005', u'301183007', u'437871001', u'60234000', u'78494001', u'260809006', u'429659006', u'226882008', u'422091007', u'36682004', u'100832001', u'84847000', u'19030005', u'20909006', u'427965001', u'160244002', u'282119004', u'89780004', u'424966008', u'74036000', u'69960004', u'89293008', u'168836005', u'395264002', u'253620009', u'36070007', u'27814009', u'91251008', u'256871003', u'116680003', u'88014003', u'118586006', u'41778007', u'116154003', u'103324002', u'230598008', u'428617003', u'360160009', u'271300009', u'45341000', u'159083000', u'396451008', u'87385003', u'12026006', u'149016008', u'58533008', u'263680009', u'371883000', u'160573003', u'67487000']}"
NCI-2013-02238,NCT01896869,"A Phase 2, Multicenter Study of FOLFIRINOX Followed by Ipilimumab in Combination with Allogeneic GM-CSF Transfected Pancreatic Tumor Vaccine in the Treatment of Metastatic Pancreatic Cancer",Exclusion,"Patients with chronic human immunodeficiency virus (HIV), hepatitis B or hepatitis C infections should be excluded",(HIV=NO) OR (HIV =UNKNOWN),(C15175=NO) OR (C15175 =C17998),"{'negated_codes': [], 'possible_codes': [], 'text': u'Patients with chronic human immunodeficiency virus (HIV), hepatitis B or hepatitis C infections should be excluded', 'affirmed_codes': [u'260998006', u'258259005', u'46123006', u'275486007', u'93235007', u'226164007', u'110656005', u'386708005', u'40780007', u'281794004', u'71971001', u'276353004', u'81564005', u'396331005', u'78494001', u'43095004', u'36682004', u'272254006', u'84847000', u'387338006', u'71057007', u'310231008', u'11466000', u'282119004', u'181681008', u'299387004', u'424966008', u'74036000', u'21186006', u'90688005', u'34689006', u'255320000', u'299029006', u'90734009', u'124220008', u'279318005', u'299209001', u'89293008', u'168836005', u'423037001', u'128601007', u'275488008', u'27814009', u'387800004', u'91302008', u'116680003', u'54470008', u'13645005', u'88014003', u'272006008', u'118586006', u'112283007', u'41778007', u'398463007', u'233169004', u'116154003', u'84101006', u'103324002', u'237751000', u'252752005', u'91867008', u'230598008', u'45341000', u'230200005', u'236650000', u'62944002', u'79019005', u'285846001', u'76844004', u'87385003', u'12026006', u'313275006', u'186467001', u'252188005', u'426749004', u'149016008', u'58533008', u'44981009', u'86406008', u'28944009', u'272255007', u'371883000', u'160573003', u'238575004', u'56717001', u'301183007', u'259122009', u'298939005', u'298868005', u'299122004', u'54150009', u'437871001', u'60234000', u'258524009', u'257984003', u'433084008', u'260809006', u'124221007', u'226882008', u'100832001', u'19030005', u'76053005', u'77075001', u'414450004', u'315124004', u'92818009', u'197284004', u'21716008', u'47757001', u'82272006', u'407515008', u'234347009', u'307534009', u'312085005', u'75181005', u'66071002', u'124214007', u'253620009', u'244386006', u'36070007', u'91251008', u'419468003', u'299458004', u'44057004', u'256871003', u'154416005', u'40733004', u'42094007', u'84162001', u'237755009', u'235866006', u'410566008', u'73781000', u'50167007', u'35089004', u'420453007', u'297514005', u'77765009', u'360160009', u'271300009', u'275487003', u'77327004', u'4009004', u'159083000', u'396451008', u'64766004', u'264668009', u'237339000', u'312133006', u'299643002', u'38394007', u'253323000', u'263680009', u'299524009', u'397312009', u'161413004', u'4915001', u'186803007', u'68566005', u'67487000']}"
NCI-2013-02284,NCT02065687,"A Randomized Phase II/III Study of Paclitaxel/Carboplatin/Metformin (NSC#91485) versus Paclitaxel/Carboplatin/Placebo as Initial Therapy for Measurable Stage III or IVA, Stage IVB, or Recurrent Endometrial Cancer",N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
